"","Sales_Rep","Business","Age","Female","Years","College","Certficates","Feedback","Salary","NPS","Diplomat","Explorer","Sentinel","Analyst"
"6707",6707,0,32,0,3,1,2,2.53,73000,7,1,0,0,0
"6708",6708,0,26,0,2,0,4,2.53,51000,5,0,0,1,0
"6711",6711,0,37,0,1,0,3,2.31,57000,7,0,1,0,0
"6715",6715,0,50,1,1,1,2,1.98,82000,4,0,1,0,0
"6716",6716,0,51,1,1,1,4,1.39,93800,6,0,1,0,0
"6719",6719,0,52,0,7,0,3,2.5,91000,8,1,0,0,0
"6720",6720,0,34,0,2,1,5,2.99,102000,9,1,0,0,0
"6726",6726,0,60,1,9,1,3,2.69,89000,9,0,1,0,0
"6727",6727,0,47,1,1,1,2,2.93,81600,4,0,1,0,0
"6728",6728,0,54,1,2,0,2,2.57,45200,3,0,1,0,0
"6729",6729,0,42,1,1,1,1,1.92,63600,3,0,0,1,0
"6730",6730,0,28,1,1,1,2,1.96,45400,5,1,0,0,0
"6731",6731,0,58,1,13,1,0,2.68,82400,8,1,0,0,0
"6732",6732,0,52,0,1,0,4,3.32,83000,9,0,1,0,0
"6733",6733,0,49,0,2,1,1,2.75,82000,6,0,1,0,0
"6739",6739,0,25,0,2,1,5,3.84,115000,10,1,0,0,0
"6740",6740,0,55,0,5,1,3,4,60000,7,0,0,1,0
"6741",6741,0,49,0,11,1,0,2.54,75000,8,1,0,0,0
"6742",6742,0,49,0,5,0,4,2.55,138000,5,1,0,0,0
"6744",6744,0,40,1,1,1,6,1.22,92000,7,0,1,0,0
"6746",6746,0,59,1,2,1,2,2.35,71200,8,1,0,0,0
"6747",6747,0,59,1,1,1,2,4,68200,4,0,0,1,0
"6750",6750,0,43,0,1,1,1,1.91,73000,4,0,1,0,0
"6752",6752,0,49,0,4,1,0,3.09,1e+05,7,0,1,0,0
"6753",6753,0,53,0,2,1,5,3.33,83000,3,0,0,1,0
"6754",6754,0,34,1,1,1,5,4,92200,8,0,0,0,1
"6757",6757,0,58,1,1,1,0,1.81,62400,4,1,0,0,0
"6758",6758,0,46,0,2,0,5,4,96000,9,1,0,0,0
"6759",6759,0,43,1,4,1,1,1.6,70400,7,1,0,0,0
"6760",6760,0,40,0,2,0,1,2.81,57000,6,1,0,0,0
"6761",6761,0,50,1,2,1,2,1.88,68000,4,1,0,0,0
"6766",6766,0,27,0,1,0,3,1.63,45000,7,0,1,0,0
"6768",6768,0,39,0,2,1,3,1.84,98000,4,1,0,0,0
"6770",6770,0,37,1,2,1,2,2.19,80600,10,1,0,0,0
"6771",6771,0,57,0,1,0,5,2.42,53000,6,0,0,0,1
"6773",6773,0,32,1,1,1,0,1.8,50600,3,0,0,1,0
"6774",6774,0,40,0,2,1,1,2.5,67000,5,1,0,0,0
"6775",6775,0,36,1,1,1,2,2.89,74800,7,1,0,0,0
"6778",6778,0,64,1,2,1,2,2.96,57200,5,0,0,1,0
"6779",6779,0,33,0,1,1,0,2.23,43000,4,0,1,0,0
"6786",6786,0,35,0,5,1,0,1.17,56000,6,1,0,0,0
"6787",6787,0,55,0,2,1,0,3.3,1e+05,5,0,1,0,0
"6790",6790,0,43,0,2,1,0,2.33,49000,3,0,0,0,1
"6793",6793,0,31,0,2,1,2,2.84,89000,6,0,1,0,0
"6794",6794,0,53,1,1,1,2,2.1,81400,6,0,1,0,0
"6796",6796,0,28,0,1,1,5,1.62,76000,6,1,0,0,0
"6798",6798,0,39,0,7,1,2,1.34,82000,8,0,1,0,0
"6800",6800,0,58,0,3,1,1,4,76000,6,0,0,1,0
"6801",6801,0,31,1,6,1,5,3.38,73800,7,0,0,1,0
"6803",6803,0,27,0,6,0,4,3,47000,5,0,0,1,0
"6804",6804,0,54,0,2,1,1,4,97000,6,0,0,1,0
"6805",6805,0,25,0,6,1,1,2.18,51000,8,0,1,0,0
"6807",6807,0,24,1,1,1,1,3.23,51200,4,0,1,0,0
"6810",6810,0,33,1,1,0,1,4,72400,7,1,0,0,0
"6811",6811,0,61,0,12,1,6,1.12,90000,9,0,0,0,1
"6812",6812,0,31,1,5,1,6,2.78,130800,9,0,1,0,0
"6814",6814,0,53,1,11,1,3,3.45,107400,8,0,1,0,0
"6817",6817,0,52,0,2,1,1,1.83,65000,4,0,0,0,1
"6819",6819,0,30,1,1,1,1,3.07,52000,4,0,0,1,0
"6820",6820,0,41,0,3,1,3,2.42,81000,6,0,1,0,0
"6821",6821,0,37,0,2,1,0,2.1,47000,5,0,1,0,0
"6822",6822,0,25,1,1,1,3,2.89,47000,5,0,0,0,1
"6824",6824,0,45,1,2,0,0,1.53,50000,4,0,1,0,0
"6825",6825,0,43,0,2,0,5,2.98,63000,5,0,0,0,1
"6826",6826,0,35,1,2,0,4,1.9,73000,8,0,1,0,0
"6827",6827,0,55,0,2,1,2,1.72,91000,3,1,0,0,0
"6829",6829,0,52,0,2,1,1,2.37,57000,3,0,0,0,1
"6832",6832,0,55,0,8,0,3,2.82,120000,9,0,1,0,0
"6834",6834,0,49,0,1,0,3,1.99,65000,4,0,1,0,0
"6838",6838,0,48,0,4,1,4,1.96,79000,7,0,0,0,1
"6840",6840,0,37,1,3,1,0,1.17,58600,4,0,1,0,0
"6847",6847,0,32,0,1,1,2,2.74,54000,4,1,0,0,0
"6850",6850,0,57,1,2,1,4,1.47,96600,6,1,0,0,0
"6857",6857,0,37,0,1,1,5,1.23,61000,9,1,0,0,0
"6858",6858,0,45,1,1,1,1,4,93000,5,0,1,0,0
"6861",6861,0,28,0,2,1,0,1.39,50000,4,0,1,0,0
"6862",6862,0,61,0,2,1,6,2.04,86000,5,0,0,0,1
"6867",6867,0,24,0,1,1,1,3.11,52000,5,0,1,0,0
"6870",6870,0,47,1,2,0,1,4,76600,7,1,0,0,0
"6873",6873,0,57,1,4,1,2,1.26,55600,6,0,1,0,0
"6877",6877,0,57,0,3,1,4,3.09,87000,8,1,0,0,0
"6881",6881,0,41,1,2,0,3,1.9,61800,9,0,1,0,0
"6882",6882,0,50,1,11,1,3,2.52,87000,8,0,1,0,0
"6883",6883,0,62,0,2,1,3,4,105000,8,1,0,0,0
"6884",6884,0,49,0,1,0,3,3.66,106000,8,0,1,0,0
"6885",6885,0,30,0,1,1,4,2.23,72000,7,1,0,0,0
"6886",6886,0,60,0,6,1,4,1.12,70000,6,1,0,0,0
"6887",6887,0,27,0,1,1,4,1.51,73000,7,1,0,0,0
"6888",6888,0,35,0,4,1,2,4,81000,9,1,0,0,0
"6891",6891,0,34,0,1,0,1,3.98,55000,4,0,0,1,0
"6892",6892,0,41,0,10,0,1,1.35,48000,5,0,0,1,0
"6897",6897,0,48,0,1,0,0,2.92,44000,2,0,0,0,1
"6898",6898,0,57,1,4,1,3,3.61,84600,7,1,0,0,0
"6899",6899,0,61,1,3,1,1,2.56,67800,5,0,1,0,0
"6900",6900,0,58,1,2,1,5,1.4,97400,9,1,0,0,0
"6901",6901,0,49,1,2,1,1,2.06,58200,5,0,1,0,0
"6902",6902,0,26,1,2,1,4,1.2,82800,6,1,0,0,0
"6903",6903,0,60,0,4,1,2,2.8,63000,5,0,1,0,0
"6906",6906,0,25,0,2,1,2,2.51,45000,5,0,0,1,0
"6907",6907,0,38,0,3,1,0,1.98,48000,4,1,0,0,0
"6916",6916,0,33,0,2,1,2,2.7,66000,5,0,1,0,0
"6919",6919,0,29,0,2,1,1,1.44,61000,6,1,0,0,0
"6920",6920,0,59,0,2,1,3,1.99,77000,3,0,0,1,0
"6922",6922,0,34,1,1,1,3,1.7,69200,6,0,0,1,0
"6923",6923,0,60,0,1,1,2,1.81,68000,8,1,0,0,0
"6924",6924,0,33,1,10,0,2,2.45,83400,7,1,0,0,0
"6927",6927,0,37,1,10,1,1,1.52,51600,3,0,1,0,0
"6928",6928,0,33,1,4,1,3,1.71,89400,5,0,1,0,0
"6929",6929,0,28,1,1,0,3,1.93,57400,5,1,0,0,0
"6930",6930,0,58,0,2,1,0,4,92000,7,0,1,0,0
"6931",6931,0,35,0,1,0,1,1.97,66000,5,0,1,0,0
"6933",6933,0,45,0,8,0,1,2.72,87000,8,1,0,0,0
"6938",6938,0,42,0,11,0,1,3.5,70000,8,0,1,0,0
"6942",6942,0,41,0,1,1,1,3.31,51000,4,0,1,0,0
"6944",6944,0,64,0,1,1,2,3.71,95000,5,0,0,0,1
"6946",6946,0,54,1,2,1,0,1.51,39200,4,0,0,1,0
"6947",6947,0,64,0,7,1,5,2.95,110000,7,0,0,0,1
"6948",6948,0,40,1,3,1,1,1.63,49000,6,0,0,0,1
"6950",6950,0,26,0,1,1,0,3.52,60000,6,0,1,0,0
"6951",6951,0,30,1,1,1,2,2.59,47000,5,0,0,1,0
"6955",6955,0,32,1,1,1,1,3.79,66600,6,1,0,0,0
"6956",6956,0,51,0,6,1,1,2.48,59000,7,0,1,0,0
"6957",6957,0,45,0,1,1,2,1.4,80000,7,1,0,0,0
"6958",6958,0,51,0,2,1,2,1.89,63000,6,0,0,0,1
"6962",6962,0,61,0,5,0,2,1.99,65000,6,0,1,0,0
"6963",6963,0,55,1,1,1,5,1.61,87000,6,0,1,0,0
"6968",6968,0,61,0,2,1,2,1.56,67000,3,0,0,1,0
"6971",6971,0,34,0,2,1,0,3.79,65000,7,1,0,0,0
"6972",6972,0,61,0,1,1,4,3.49,96000,6,0,0,1,0
"6973",6973,0,59,0,2,1,3,1.27,60000,5,1,0,0,0
"6977",6977,0,42,1,11,1,3,1.81,84600,8,1,0,0,0
"6980",6980,0,63,0,1,1,1,3.76,70000,5,0,0,0,1
"6982",6982,0,28,1,1,1,2,2.35,67400,5,1,0,0,0
"6983",6983,0,48,1,2,1,2,4,105400,10,0,1,0,0
"6985",6985,0,32,1,4,1,4,1.89,76600,9,0,1,0,0
"6987",6987,0,31,0,12,1,2,2.32,56000,7,1,0,0,0
"6994",6994,0,43,1,5,1,1,2.73,59400,6,0,1,0,0
"6997",6997,0,31,1,1,1,2,3.17,63800,7,0,1,0,0
"6999",6999,0,47,1,2,0,2,3.97,62600,8,1,0,0,0
"7001",7001,0,30,0,1,1,2,1.8,77000,4,0,1,0,0
"7008",7008,0,33,0,6,1,3,2.79,107000,8,1,0,0,0
"7010",7010,0,37,0,2,1,4,2.54,97000,8,1,0,0,0
"7011",7011,0,37,0,2,1,1,2.97,50000,5,0,0,1,0
"7014",7014,0,33,0,1,1,3,1.37,57000,6,0,1,0,0
"7021",7021,0,61,1,2,1,1,3.45,45800,3,0,1,0,0
"7022",7022,0,25,1,2,1,3,2.12,51000,3,1,0,0,0
"7023",7023,0,41,1,8,1,2,4,68800,8,0,1,0,0
"7027",7027,0,64,1,7,1,4,2.59,90200,7,1,0,0,0
"7032",7032,0,57,1,1,1,2,1.23,66600,9,0,1,0,0
"7034",7034,0,27,0,8,1,6,4,116000,9,1,0,0,0
"7035",7035,0,46,1,7,1,0,2.98,69800,8,1,0,0,0
"7037",7037,0,31,1,1,1,3,2.39,74800,9,1,0,0,0
"7038",7038,0,63,0,1,1,3,2.31,78000,7,1,0,0,0
"7040",7040,0,37,0,1,1,2,2.23,62000,5,0,1,0,0
"7043",7043,0,47,1,2,1,2,1.5,88600,10,0,1,0,0
"7045",7045,0,58,0,2,0,3,3.19,90000,9,1,0,0,0
"7046",7046,0,31,1,2,0,4,3.55,60800,6,0,0,0,1
"7047",7047,0,65,0,1,1,4,3.02,57000,5,0,0,0,1
"7052",7052,0,45,1,2,1,1,2.76,69000,8,0,1,0,0
"7055",7055,0,29,1,2,1,2,3.81,89200,5,0,1,0,0
"7059",7059,0,34,0,2,1,0,1.79,56000,5,0,1,0,0
"7060",7060,0,59,0,2,0,6,1.19,85000,6,0,1,0,0
"7061",7061,0,35,1,1,0,2,3.09,48000,6,0,1,0,0
"7062",7062,0,55,0,2,1,5,1.22,107000,9,1,0,0,0
"7066",7066,0,37,1,2,1,3,1.44,64600,4,0,1,0,0
"7067",7067,0,43,1,2,1,4,2.97,86400,8,1,0,0,0
"7070",7070,0,59,0,2,1,2,2.31,105000,4,0,1,0,0
"7071",7071,0,57,0,10,1,5,2.1,107000,10,0,1,0,0
"7072",7072,0,29,0,2,0,4,3.66,64000,3,0,0,1,0
"7074",7074,0,58,1,1,1,5,1.58,99400,7,0,1,0,0
"7079",7079,0,30,0,1,0,5,2.64,89000,9,1,0,0,0
"7080",7080,0,48,1,7,1,1,4,90400,10,1,0,0,0
"7082",7082,0,57,0,1,1,2,2.14,55000,2,0,0,0,1
"7084",7084,0,53,0,1,1,3,1.51,95000,5,0,1,0,0
"7087",7087,0,26,0,1,1,2,2,36000,2,0,0,0,1
"7088",7088,0,45,0,2,1,3,3.42,121000,8,1,0,0,0
"7089",7089,0,33,1,1,1,4,2.74,65400,8,0,0,1,0
"7093",7093,0,31,0,4,1,6,2.41,80000,9,1,0,0,0
"7095",7095,0,37,0,3,0,0,3.18,47000,6,0,0,0,1
"7099",7099,0,63,1,6,1,3,2.62,59400,7,0,0,1,0
"7101",7101,0,31,1,2,1,5,3.05,82800,7,1,0,0,0
"7103",7103,0,41,0,1,1,0,2.08,60000,3,0,1,0,0
"7106",7106,0,27,0,4,1,1,4,54000,8,0,1,0,0
"7107",7107,0,49,0,9,0,0,2.67,60000,5,0,0,0,1
"7111",7111,0,47,0,2,1,2,3.28,84000,5,0,1,0,0
"7116",7116,0,24,0,1,1,3,2.89,50000,2,0,0,0,1
"7119",7119,0,64,0,5,1,2,3.11,62000,9,1,0,0,0
"7121",7121,0,54,0,3,1,0,3.95,76000,5,0,0,1,0
"7122",7122,0,51,0,1,1,4,4,104000,9,0,0,1,0
"7129",7129,0,33,0,8,1,2,3.43,71000,6,0,1,0,0
"7130",7130,0,38,0,5,1,0,2.73,49000,4,0,0,1,0
"7131",7131,0,32,0,1,1,3,1.45,61000,5,1,0,0,0
"7135",7135,0,35,0,1,1,3,2.83,99000,10,0,1,0,0
"7141",7141,0,59,0,2,1,0,2.21,47000,2,0,0,0,1
"7145",7145,0,53,0,1,1,2,3.28,92000,9,0,1,0,0
"7146",7146,0,49,0,2,1,2,3.28,82000,6,0,1,0,0
"7151",7151,0,53,0,1,1,3,1.45,99000,7,1,0,0,0
"7154",7154,0,53,1,4,1,2,3.28,87400,8,1,0,0,0
"7159",7159,0,51,0,2,1,4,1.4,83000,4,0,0,1,0
"7163",7163,0,34,0,13,1,4,3.76,150000,9,1,0,0,0
"7165",7165,0,50,0,1,1,3,1.9,84000,8,1,0,0,0
"7167",7167,0,37,1,1,1,1,3.14,65600,8,1,0,0,0
"7168",7168,0,24,0,1,1,4,2.79,63000,5,1,0,0,0
"7169",7169,0,27,1,1,1,4,3.19,59600,5,0,0,1,0
"7170",7170,0,48,0,2,0,2,3.95,82000,5,0,0,0,1
"7175",7175,0,57,0,12,1,3,2.66,72000,8,1,0,0,0
"7177",7177,0,45,0,4,1,6,3.66,155000,8,0,1,0,0
"7178",7178,0,29,1,1,0,5,2.27,65200,7,0,1,0,0
"7181",7181,0,46,1,8,1,5,3.72,116800,9,0,1,0,0
"7189",7189,0,51,0,2,0,3,2.02,74000,3,0,1,0,0
"7192",7192,0,37,1,2,0,2,3.26,48600,5,0,0,0,1
"7195",7195,0,42,0,1,1,2,3.48,66000,4,0,0,1,0
"7198",7198,0,33,0,9,1,1,2.1,84000,7,0,1,0,0
"7199",7199,0,60,1,6,1,0,1.35,52000,8,1,0,0,0
"7201",7201,0,55,1,1,1,4,1.94,111000,8,1,0,0,0
"7202",7202,0,29,1,3,1,3,2.79,56200,3,0,0,0,1
"7203",7203,0,64,0,1,0,3,2.26,49000,3,0,0,1,0
"7204",7204,0,29,0,5,1,4,2.33,61000,4,0,0,1,0
"7209",7209,0,48,1,2,1,2,4,80400,10,1,0,0,0
"7210",7210,0,34,1,1,1,5,1.59,82200,7,1,0,0,0
"7215",7215,0,49,1,1,1,0,3.78,95200,5,0,1,0,0
"7216",7216,0,31,1,2,1,5,1.64,62800,6,0,0,0,1
"7222",7222,0,46,1,2,1,1,1.74,54800,4,0,1,0,0
"7226",7226,0,40,0,2,0,2,3.33,104000,7,0,1,0,0
"7232",7232,0,56,0,1,0,2,1.36,72000,5,1,0,0,0
"7233",7233,0,43,1,2,1,2,2.27,91400,6,0,1,0,0
"7234",7234,0,38,1,1,1,0,2.22,43400,4,0,0,1,0
"7237",7237,0,49,1,1,0,4,1.56,89200,10,0,1,0,0
"7238",7238,0,65,0,8,1,1,2.98,69000,5,0,1,0,0
"7239",7239,0,63,1,2,1,2,1.93,54400,5,0,1,0,0
"7242",7242,0,26,1,9,1,5,2.29,73800,9,0,1,0,0
"7243",7243,0,59,1,1,1,2,1.47,73200,6,0,1,0,0
"7247",7247,0,24,0,7,0,2,1.81,56000,5,0,0,1,0
"7251",7251,0,38,1,1,1,1,3.49,66400,7,1,0,0,0
"7253",7253,0,60,0,8,0,1,2.96,57000,4,0,0,0,1
"7254",7254,0,60,1,2,1,2,1.23,54000,4,1,0,0,0
"7257",7257,0,63,0,4,1,6,2.14,78000,6,0,0,0,1
"7259",7259,0,28,1,4,1,3,2.79,52400,4,0,0,1,0
"7261",7261,0,43,0,2,1,1,1.37,62000,4,0,1,0,0
"7262",7262,0,51,0,1,0,1,3.43,62000,4,0,0,1,0
"7264",7264,0,49,0,11,1,1,2.74,116000,10,0,1,0,0
"7265",7265,0,61,0,2,1,5,2.48,111000,6,0,0,1,0
"7266",7266,0,32,0,1,0,1,3.91,47000,5,0,1,0,0
"7267",7267,0,38,0,4,0,4,3.46,83000,9,0,1,0,0
"7270",7270,0,63,0,5,1,1,2.55,72000,4,0,0,1,0
"7274",7274,0,40,1,5,1,1,1.92,64000,9,1,0,0,0
"7275",7275,0,41,0,2,1,2,2.89,86000,5,0,0,0,1
"7276",7276,0,45,0,1,0,4,3.31,61000,3,0,0,1,0
"7284",7284,0,38,1,1,1,3,3.26,81400,9,1,0,0,0
"7288",7288,0,59,0,5,1,1,4,96000,6,0,1,0,0
"7289",7289,0,39,1,2,1,2,1.25,57200,5,0,0,1,0
"7294",7294,0,39,1,2,0,2,2.24,40200,3,0,0,1,0
"7295",7295,0,24,0,1,1,2,1.72,29000,3,0,0,0,1
"7296",7296,0,48,0,2,1,2,3.44,73000,10,1,0,0,0
"7298",7298,0,60,1,2,0,4,2.98,56000,10,0,1,0,0
"7299",7299,0,35,1,1,1,6,1.79,106000,8,1,0,0,0
"7301",7301,0,54,0,1,1,1,3.09,85000,5,1,0,0,0
"7303",7303,0,41,1,1,0,2,2.21,52800,4,0,0,0,1
"7305",7305,0,64,1,1,1,1,2.52,57200,5,1,0,0,0
"7307",7307,0,42,1,5,1,3,3.9,90600,7,0,0,1,0
"7311",7311,0,32,1,1,1,1,4,64600,5,0,0,0,1
"7314",7314,0,35,0,3,1,5,1.31,96000,5,1,0,0,0
"7315",7315,0,52,0,9,1,1,2.19,60000,5,1,0,0,0
"7316",7316,0,43,0,7,1,5,3.73,70000,4,0,0,0,1
"7317",7317,0,61,0,1,1,2,2.82,67000,5,0,1,0,0
"7318",7318,0,25,1,1,0,0,2.35,39000,3,0,1,0,0
"7321",7321,0,35,0,2,1,1,3.97,84000,10,0,1,0,0
"7322",7322,0,56,0,7,0,2,1.77,70000,8,1,0,0,0
"7324",7324,0,35,0,3,1,1,1.9,67000,7,1,0,0,0
"7326",7326,0,63,0,2,0,1,4,79000,7,0,1,0,0
"7327",7327,0,45,1,1,1,3,2.65,89000,6,0,0,0,1
"7329",7329,0,55,1,2,0,2,1.87,46000,5,0,1,0,0
"7330",7330,0,25,1,1,1,2,4,56000,5,0,0,0,1
"7332",7332,0,25,0,2,0,2,3.46,35000,5,0,0,0,1
"7333",7333,0,24,0,2,1,2,2.09,55000,4,0,1,0,0
"7334",7334,0,49,1,1,1,2,3.02,80200,7,0,0,0,1
"7337",7337,0,47,1,1,0,0,2.93,48600,4,1,0,0,0
"7338",7338,0,48,0,2,0,2,2.57,66000,5,0,0,0,1
"7340",7340,0,42,1,1,0,1,1.71,59600,5,1,0,0,0
"7344",7344,0,36,0,2,1,6,1.29,1e+05,7,1,0,0,0
"7346",7346,0,34,0,9,1,3,1.16,72000,9,1,0,0,0
"7348",7348,0,33,1,2,1,5,3.83,94400,10,0,1,0,0
"7349",7349,0,27,1,1,1,3,3.61,77600,8,0,1,0,0
"7350",7350,0,51,0,4,1,2,2.75,102000,3,1,0,0,0
"7352",7352,0,42,0,2,0,6,1.94,90000,10,1,0,0,0
"7353",7353,0,52,0,2,1,5,2.7,94000,8,0,1,0,0
"7355",7355,0,41,0,2,0,0,3.29,38000,2,0,0,0,1
"7356",7356,0,25,1,4,1,5,1.91,88000,7,1,0,0,0
"7360",7360,0,63,1,4,1,1,3.88,38400,2,0,0,1,0
"7365",7365,0,60,0,2,0,4,4,89000,8,1,0,0,0
"7366",7366,0,27,0,2,1,2,2.5,58000,4,0,0,0,1
"7367",7367,0,38,1,8,1,5,2.39,79400,9,1,0,0,0
"7368",7368,0,44,1,2,0,1,4,68200,9,0,0,0,1
"7370",7370,0,45,1,1,1,2,3.34,71000,3,0,1,0,0
"7372",7372,0,27,1,10,0,4,3.14,53600,6,0,0,0,1
"7374",7374,0,35,0,1,1,4,2.6,62000,4,0,0,0,1
"7375",7375,0,37,1,8,1,0,2.4,49600,6,1,0,0,0
"7376",7376,0,64,0,5,1,1,1.91,67000,8,1,0,0,0
"7379",7379,0,43,0,2,1,1,4,107000,7,0,1,0,0
"7380",7380,0,26,0,1,0,3,3.93,66000,9,1,0,0,0
"7381",7381,0,27,0,2,0,1,1.16,42000,4,0,1,0,0
"7384",7384,0,35,0,2,0,3,1.6,59000,4,0,0,0,1
"7391",7391,0,31,0,5,1,1,2.44,48000,9,1,0,0,0
"7393",7393,0,47,0,2,1,6,3.56,168000,8,1,0,0,0
"7394",7394,0,49,1,2,1,3,3.46,64200,8,0,1,0,0
"7402",7402,0,64,0,2,1,2,2.79,73000,6,1,0,0,0
"7403",7403,0,59,0,2,1,4,2.62,87000,7,1,0,0,0
"7407",7407,0,28,1,1,1,2,3.13,59400,4,1,0,0,0
"7409",7409,0,38,0,10,0,2,1.99,53000,4,0,0,0,1
"7411",7411,0,35,1,1,1,3,3.63,95000,6,1,0,0,0
"7414",7414,0,42,0,1,1,6,2.43,102000,7,0,1,0,0
"7416",7416,0,52,0,2,0,2,2.32,56000,5,0,1,0,0
"7420",7420,0,60,0,4,1,1,3.48,91000,7,0,1,0,0
"7423",7423,0,26,0,1,1,4,1.26,50000,4,0,0,0,1
"7425",7425,0,62,1,10,1,2,2.11,86600,7,1,0,0,0
"7426",7426,0,45,1,3,1,2,1.38,68000,6,0,1,0,0
"7428",7428,0,39,1,1,1,2,3.12,66200,5,0,0,0,1
"7429",7429,0,57,0,1,1,3,2.15,78000,6,1,0,0,0
"7430",7430,0,31,0,2,1,1,1.51,70000,7,1,0,0,0
"7432",7432,0,32,0,2,1,5,2.28,72000,6,1,0,0,0
"7434",7434,0,28,0,1,1,3,2.31,59000,5,1,0,0,0
"7435",7435,0,54,0,1,0,1,1.61,53000,7,0,1,0,0
"7437",7437,0,26,0,2,0,0,2.08,40000,3,0,1,0,0
"7439",7439,0,60,1,11,1,2,2.27,50000,4,0,0,1,0
"7442",7442,0,34,1,2,1,2,2.37,77200,8,0,1,0,0
"7443",7443,0,52,0,9,1,3,2.54,86000,5,0,0,0,1
"7444",7444,0,32,0,4,0,0,3.42,31000,4,0,1,0,0
"7445",7445,0,27,0,1,1,5,3.47,96000,8,0,1,0,0
"7448",7448,0,27,0,8,0,4,1.89,63000,8,1,0,0,0
"7450",7450,0,33,0,11,1,1,1.34,53000,7,1,0,0,0
"7451",7451,0,54,0,4,1,4,2.12,106000,10,0,1,0,0
"7452",7452,0,53,0,2,1,0,2.62,95000,7,1,0,0,0
"7454",7454,0,40,0,1,1,0,1.69,58000,3,0,0,1,0
"7458",7458,0,62,0,2,1,1,2.88,55000,5,0,0,1,0
"7463",7463,0,64,0,2,1,0,2.95,50000,3,0,0,0,1
"7465",7465,0,24,0,7,1,2,4,81000,6,0,1,0,0
"7466",7466,0,45,0,1,0,5,4,89000,9,0,1,0,0
"7468",7468,0,39,1,2,1,3,2.22,74200,7,0,1,0,0
"7470",7470,0,55,0,2,1,4,2.43,75000,4,0,0,1,0
"7471",7471,0,62,0,10,1,3,3.84,82000,6,0,1,0,0
"7472",7472,0,47,0,1,1,0,1.24,62000,7,0,1,0,0
"7475",7475,0,29,1,2,1,6,2.84,67200,8,0,0,1,0
"7480",7480,0,54,0,6,0,2,3.8,75000,8,0,0,1,0
"7481",7481,0,37,0,1,0,4,2.59,68000,5,0,0,0,1
"7482",7482,0,42,0,10,0,0,1.46,49000,4,0,1,0,0
"7485",7485,0,30,0,11,1,1,2.28,72000,8,0,1,0,0
"7489",7489,0,54,0,2,1,3,1.35,90000,6,1,0,0,0
"7491",7491,0,36,0,2,1,4,1.4,88000,7,0,1,0,0
"7494",7494,0,65,1,8,1,2,2.43,53000,5,0,0,1,0
"7495",7495,0,31,0,12,1,0,3.98,78000,9,0,1,0,0
"7497",7497,0,38,1,5,1,1,2.72,69400,6,1,0,0,0
"7498",7498,0,55,0,9,1,2,3.57,133000,8,1,0,0,0
"7499",7499,0,48,0,2,1,3,3.11,91000,9,1,0,0,0
"7502",7502,0,52,1,2,0,3,3.91,54600,8,1,0,0,0
"7506",7506,0,25,0,1,1,1,2.18,49000,3,1,0,0,0
"7510",7510,0,24,1,1,1,6,2.81,64200,9,0,1,0,0
"7516",7516,0,55,1,1,0,3,3.27,55000,6,1,0,0,0
"7517",7517,0,43,0,2,1,0,1.97,75000,4,1,0,0,0
"7519",7519,0,47,0,1,1,0,1.77,53000,5,0,1,0,0
"7524",7524,0,39,0,2,1,1,3.21,62000,4,0,0,1,0
"7527",7527,0,28,0,1,1,1,1.53,59000,4,1,0,0,0
"7528",7528,0,57,0,7,1,3,1.76,78000,10,0,1,0,0
"7530",7530,0,44,0,13,1,3,2.5,1e+05,8,1,0,0,0
"7532",7532,0,26,1,1,1,4,2.26,47800,2,0,0,1,0
"7534",7534,0,45,0,1,1,1,3.48,113000,7,0,1,0,0
"7535",7535,0,63,0,1,1,1,4,79000,6,1,0,0,0
"7539",7539,0,44,0,2,1,3,2.43,78000,5,0,1,0,0
"7543",7543,0,62,0,5,1,2,1.86,78000,5,0,1,0,0
"7547",7547,0,38,1,2,1,5,3.13,91400,8,1,0,0,0
"7549",7549,0,34,0,1,0,1,2.01,73000,4,1,0,0,0
"7550",7550,0,54,0,2,1,4,2.36,120000,6,0,1,0,0
"7551",7551,0,63,1,1,1,0,4,73400,6,0,1,0,0
"7552",7552,0,44,0,9,1,2,4,117000,10,0,1,0,0
"7553",7553,0,50,1,2,0,4,1.18,80000,7,0,1,0,0
"7554",7554,0,32,1,2,1,1,3.95,79600,5,1,0,0,0
"7555",7555,0,57,1,2,1,1,1.62,39600,2,0,0,1,0
"7557",7557,0,60,0,1,1,3,3.24,132000,9,1,0,0,0
"7558",7558,0,58,1,6,1,3,2.81,74400,5,1,0,0,0
"7561",7561,0,43,0,10,1,5,2.87,116000,10,1,0,0,0
"7563",7563,0,38,0,1,1,4,2.34,95000,9,1,0,0,0
"7566",7566,0,65,1,1,1,2,2.68,77000,6,0,1,0,0
"7567",7567,0,35,1,3,1,3,3.18,52000,3,0,0,1,0
"7571",7571,0,60,0,1,0,3,2.6,59000,4,0,0,1,0
"7572",7572,0,58,0,2,1,1,1.84,66000,6,1,0,0,0
"7573",7573,0,42,0,2,1,1,3.15,75000,4,1,0,0,0
"7574",7574,0,45,0,4,1,3,4,95000,7,0,0,1,0
"7575",7575,0,55,0,2,1,6,2.07,95000,7,0,0,0,1
"7584",7584,0,39,0,1,1,1,4,72000,3,0,0,0,1
